,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Text,Text Length,Text Length Token,sentiment
3389,860,38,"Pretty, but too long on my short torso","This is a very pretty blouse and i like the mix of fabrics. i bought this in my usual size and it fit nicely except for the fact it is much too long. i have a short torso, and all this does it just cling and sit on my butt. perhaps this would work very nicely on someone that was athletic or tall and slender. sad to say, i had to return this because of the length.",4,1,0,General,Tops,Knits,"Pretty, but too long on my short torso. This is a very pretty blouse and i like the mix of fabrics. i bought this in my usual size and it fit nicely except for the fact it is much too long. i have a short torso, and all this does it just cling and sit on my butt. perhaps this would work very nicely on someone that was athletic or tall and slender. sad to say, i had to return this because of the length.",405,103,1
22007,1089,36,Not what i expexted,"While i had high hopes for this dress to be my ""go to"", unfortunately o couldn't get passed how cheap the material felt. the cut and pattern both worked on my petite frame, however, the cut out pieces in front are not lines and exposed the top portion of my bra.",3,0,0,General,Dresses,Dresses,"Not what i expexted. While i had high hopes for this dress to be my ""go to"", unfortunately o couldn't get passed how cheap the material felt. the cut and pattern both worked on my petite frame, however, the cut out pieces in front are not lines and exposed the top portion of my bra.",283,68,0
12348,868,67,April fools?,"I do not even know where to begin with this product. i ordered a small (i go between small and medium) and felt that would be a good fit. after trying on the shirt, i would have opted for the xxxxxxxxs or whatever the smallest size is. this shirt is very boxy. i know its supposed to have a 'flow' to it, but this shirt is too much. it needs to be taken in. or have a belt wrapped around it. i tried the belt look but it did not look flattering. i found this color to be very blah. overall, i am slig",1,0,0,General,Tops,Knits,"April fools?. I do not even know where to begin with this product. i ordered a small (i go between small and medium) and felt that would be a good fit. after trying on the shirt, i would have opted for the xxxxxxxxs or whatever the smallest size is. this shirt is very boxy. i know its supposed to have a 'flow' to it, but this shirt is too much. it needs to be taken in. or have a belt wrapped around it. i tried the belt look but it did not look flattering. i found this color to be very blah. overall, i am slig",514,134,0
9589,1081,28,Colors are more intense than they appear,I purchased this dress for my graduation. the colors are much more intense and bright then they appear online. i'm kind of concerned that i look like a carnival tent. i like the style but the fabric feels cheap for the cost of the dress. the fabric is 100% synthetic.the fit is great. the dress is true to size,2,0,42,General,Dresses,Dresses,Colors are more intense than they appear. I purchased this dress for my graduation. the colors are much more intense and bright then they appear online. i'm kind of concerned that i look like a carnival tent. i like the style but the fabric feels cheap for the cost of the dress. the fabric is 100% synthetic.the fit is great. the dress is true to size,352,78,1
2316,1100,44,Navy oompa loompa,"Okay, i love the blouse this brand has in the same material, so i thought i'd delight in this dress. i am a 5'7"" hourglass but have a longer torso. i ordered the large in this, usually a 10 or 12 fits me.. but the waist hit much higher than my natural waist, and yet it was somewhat tight and completely rigid. the bust area was a little loose, and i'm a 36c. then the bottom flared out in sort of a flower fairy poof above my knees which reminded me of a navy blue oompa loompa dress.. and i love my",3,0,3,General,Dresses,Dresses,"Navy oompa loompa. Okay, i love the blouse this brand has in the same material, so i thought i'd delight in this dress. i am a 5'7"" hourglass but have a longer torso. i ordered the large in this, usually a 10 or 12 fits me.. but the waist hit much higher than my natural waist, and yet it was somewhat tight and completely rigid. the bust area was a little loose, and i'm a 36c. then the bottom flared out in sort of a flower fairy poof above my knees which reminded me of a navy blue oompa loompa dress.. and i love my",519,148,1
2837,984,56,Not attractive,"I bought this jacket based on how it looked on the model, and from the reviews. i found it to be super big, and unflattering to say the least. i'm 5""10, 155lbs. i sent it back.",1,0,5,General,Jackets,Jackets,"Not attractive. I bought this jacket based on how it looked on the model, and from the reviews. i found it to be super big, and unflattering to say the least. i'm 5""10, 155lbs. i sent it back.",192,55,0
6051,873,28,Runs small,"Purchased on sale, would have never purchased at full price. runs small and runs short. will be returning.",3,0,0,General,Tops,Knits,"Runs small. Purchased on sale, would have never purchased at full price. runs small and runs short. will be returning.",118,25,0
7248,118,52,Cute top,Just not as long as in the picture. it hit me at my hips not good!,1,0,0,Initmates,Intimate,Sleep,Cute top. Just not as long as in the picture. it hit me at my hips not good!,76,23,0
15295,1078,33,Must have if you can find it,"I searched far and wide for this dress. after ordering an 8, 10 and 12 from 3 different stores in two different cities, in a span of 2 months, i finally settled on the 10! i literally went searching for this while on vacation, too. i'm 5'5.5"", 160 lbs and 36c bust and the 10 fit perfectly. this dress is adorable and i've worn it to the office and on the weekends. this will definitely be in my biweekly rotation this summer. the quality is on point and it was definitely worth the price tag. i was",5,1,2,General,Dresses,Dresses,"Must have if you can find it. I searched far and wide for this dress. after ordering an 8, 10 and 12 from 3 different stores in two different cities, in a span of 2 months, i finally settled on the 10! i literally went searching for this while on vacation, too. i'm 5'5.5"", 160 lbs and 36c bust and the 10 fit perfectly. this dress is adorable and i've worn it to the office and on the weekends. this will definitely be in my biweekly rotation this summer. the quality is on point and it was definitely worth the price tag. i was",529,137,1
18348,1150,37,Love,"I never ever buy anything full price when it comes to retailer shopping, love their stuff but way over priced so i patiently watch and wait. this dress though i couldn't do it, i had to have it. i think it is a fabulous addition to my summer collection and i look forward to wearing it in a few weeks to a july 4th get away. get it while you can.",5,1,2,General,Dresses,Dresses,"Love. I never ever buy anything full price when it comes to retailer shopping, love their stuff but way over priced so i patiently watch and wait. this dress though i couldn't do it, i had to have it. i think it is a fabulous addition to my summer collection and i look forward to wearing it in a few weeks to a july 4th get away. get it while you can.",352,85,1
7942,866,50,Wanted to love this!,"I was excited to see this top, ordered it and was disappointed. it was too tight across the chest and had too much fabric around the bottom. i tried this on 3 times hoping for i had been wrong in previous assessments- no luck.",2,0,1,General Petite,Tops,Knits,"Wanted to love this!. I was excited to see this top, ordered it and was disappointed. it was too tight across the chest and had too much fabric around the bottom. i tried this on 3 times hoping for i had been wrong in previous assessments- no luck.",248,61,0
1665,835,28,Maternity top,"Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning.",1,0,4,General Petite,Tops,Blouses,"Maternity top. Extremely disappointed with this top. it runs extremely large. i'm 5'2, 130 lbs, 34c and usually wear between a 0-2 & xs-s tops at retailer. i ordered a 0 and it looked like a maternity top on me. the bottom half of the top flared out and did not fit close to the body at all. fabric was also a gauze-like material that was not soft. unfortunately, i will be returning.",384,105,0
20182,883,46,Color transferred to my skin,This is a cute top but i wore it for around 5 hours and lo and behold i had smurf skin. i did not sweat in it but the color transferred to my underarm area and bra and it did not come off in the shower!! i guess it's going to have to wear off. thank goodness it was not a hot day!! i hope that i can return it.,1,0,3,General Petite,Tops,Knits,Color transferred to my skin. This is a cute top but i wore it for around 5 hours and lo and behold i had smurf skin. i did not sweat in it but the color transferred to my underarm area and bra and it did not come off in the shower!! i guess it's going to have to wear off. thank goodness it was not a hot day!! i hope that i can return it.,340,94,0
1529,1020,48,Bright spring skirt,"I love this skirt! it's a denim material, so it's structured, but not too heavy for warm weather. the colors are bright. it may run a bit big, but i didn't have trouble with my usual size. the pockets are actually usable. great for casual and easy to dress up.",5,1,0,General Petite,Bottoms,Skirts,"Bright spring skirt. I love this skirt! it's a denim material, so it's structured, but not too heavy for warm weather. the colors are bright. it may run a bit big, but i didn't have trouble with my usual size. the pockets are actually usable. great for casual and easy to dress up.",281,76,1
9598,1066,50,My new go-to,"Just bought these. they are my fourth pair. they are comfy, flattering and versatile.  i pretty much live in these cargos on the weekends.",5,1,1,General Petite,Bottoms,Pants,"My new go-to. Just bought these. they are my fourth pair. they are comfy, flattering and versatile.  i pretty much live in these cargos on the weekends.",152,39,1
13356,1038,56,Good alternative to boy jeans......,"Let me begin by saying i own quite few pilcro jeans, the script, and hyphen to name a few, absolutely love them, they fit tts, super soft with just the right amount of stretch. the em jean have the perfect retro look, super soft, with just enough relaxed fit to still look stylish. unfortunately, i noticed that they have gone up in price a bit since they were introduced as the signature jean for retailer, andddddd, they are no longer made in the usa, but in china....so you may need to try on",4,1,8,General Petite,Bottoms,Jeans,"Good alternative to boy jeans....... Let me begin by saying i own quite few pilcro jeans, the script, and hyphen to name a few, absolutely love them, they fit tts, super soft with just the right amount of stretch. the em jean have the perfect retro look, super soft, with just enough relaxed fit to still look stylish. unfortunately, i noticed that they have gone up in price a bit since they were introduced as the signature jean for retailer, andddddd, they are no longer made in the usa, but in china....so you may need to try on",532,136,1
18824,156,44,Great under dresses,These truly are tights and not leggings. they could not be worn alone but definitely great under skirts or dresses. they are thick and warm. i thought they ran a little big.,5,1,0,Initmates,Intimate,Legwear,Great under dresses. These truly are tights and not leggings. they could not be worn alone but definitely great under skirts or dresses. they are thick and warm. i thought they ran a little big.,194,46,1
15594,867,32,Great for nursing mother! (very low cut),"Very soft material, probably will pill quickly but it is super comfortable. it is also very low cut; it works perfectly for me for breastfeeding because each of the front panels can be easily pulled to the side. a cami underneath is required, the model definitely isn't wearing a bra. i'll be wearing a nursing tank under this. definitely a good print for summer.",4,1,1,General Petite,Tops,Knits,"Great for nursing mother! (very low cut). Very soft material, probably will pill quickly but it is super comfortable. it is also very low cut; it works perfectly for me for breastfeeding because each of the front panels can be easily pulled to the side. a cami underneath is required, the model definitely isn't wearing a bra. i'll be wearing a nursing tank under this. definitely a good print for summer.",405,96,1
21030,1078,26,This dress is perfect for summer!,"This dress was love at first sight.  i did have to size down from my normal size but the dress is so comfortable and cool.  as another reviewer said, it does shrink after first wash but perfect now since i am 5'2"".  it shrank about one inch in length only.  i got many compliments and my husband said it was beautiful- that's a plus! i was comfortable and cool all day.  get it before it is out of stock.  this dress will not make it to sale.",5,1,0,General,Dresses,Dresses,"This dress is perfect for summer!. This dress was love at first sight.  i did have to size down from my normal size but the dress is so comfortable and cool.  as another reviewer said, it does shrink after first wash but perfect now since i am 5'2"".  it shrank about one inch in length only.  i got many compliments and my husband said it was beautiful- that's a plus! i was comfortable and cool all day.  get it before it is out of stock.  this dress will not make it to sale.",477,118,0
19162,1104,35,Cute but not worth the cost,"It's a perfectly cute simple summer dress, but the only reason i'm even considering keeping it is because it was a gift. the material is fine but for this price, i expect something more exciting than what is, really, just a modified t-shirt dress. at least more exciting colors or a print or something. the top piece is 2 full layers which could get warm in the summer, and the ribbing is tight enough that you have to wear a bra even if you're small-chested (i'm a 32b and super thin and still neede",3,0,20,General Petite,Dresses,Dresses,"Cute but not worth the cost. It's a perfectly cute simple summer dress, but the only reason i'm even considering keeping it is because it was a gift. the material is fine but for this price, i expect something more exciting than what is, really, just a modified t-shirt dress. at least more exciting colors or a print or something. the top piece is 2 full layers which could get warm in the summer, and the ribbing is tight enough that you have to wear a bra even if you're small-chested (i'm a 32b and super thin and still neede",529,135,1
15720,895,58,Great sweater,I have this in both the black and red. great design. very flattering and soft. the red is the perfect color. will get a lot of west from these for many years.,5,1,0,General Petite,Tops,Fine gauge,Great sweater. I have this in both the black and red. great design. very flattering and soft. the red is the perfect color. will get a lot of west from these for many years.,173,43,1
14135,862,49,Not what i was expecting...,"I was expecting a tee shirt, but the material is more of light sweater knit. in the end it wasn't the fabric that was the deal breaker...it was the fit. in my regular size it is too wide and boxy through the body. i also felt like the arms are too big as well. it's going back and i am not going to bother ordering it in a smaller size. it's a shame because the embroidery really is lovely.",2,0,4,General Petite,Tops,Knits,"Not what i was expecting.... I was expecting a tee shirt, but the material is more of light sweater knit. in the end it wasn't the fabric that was the deal breaker...it was the fit. in my regular size it is too wide and boxy through the body. i also felt like the arms are too big as well. it's going back and i am not going to bother ordering it in a smaller size. it's a shame because the embroidery really is lovely.",419,119,0
14991,865,59,Obsessed.,I can't stop wearing this. it's perfect for layering! the fit is great-loose but not a bag. i love that it's a wide open knit.,5,1,0,General,Tops,Knits,Obsessed.. I can't stop wearing this. it's perfect for layering! the fit is great-loose but not a bag. i love that it's a wide open knit.,137,44,1
22691,1087,67,Overpriced potato sack,"After readying the reviews of this dress, i thought for sure i was purchasing a winner. boy, was i wrong! first, this dress feels like a potato sack and looked like one on. i felt that it was very boxy and more of a o' one size fits all' sizing. it did not embrace my curves at all. the material was not as chic as i would have thought. overall, the entire dress was not flattering. honestly, i do not understand what the rave reviews were talking about it.",1,0,0,General Petite,Dresses,Dresses,"Overpriced potato sack. After readying the reviews of this dress, i thought for sure i was purchasing a winner. boy, was i wrong! first, this dress feels like a potato sack and looked like one on. i felt that it was very boxy and more of a o' one size fits all' sizing. it did not embrace my curves at all. the material was not as chic as i would have thought. overall, the entire dress was not flattering. honestly, i do not understand what the rave reviews were talking about it.",481,125,0
14128,985,31,Exposure of material's backside disappoints,"While this is cozy and well made, the problem lies with the unavoidable exposure of the inside of the poncho, which looks unfinished. had the inside been lined or had the hue of the stripes continued through the material, the draped look of this piece would be gorgeous. unfortunately, the faded backside of the pattern (a glimpse of it under model's left hand), viewable through the very large arm holes (and impossible to hide), disrupts the effortless, fluid feel that a poncho should have. i was",2,0,5,General Petite,Jackets,Jackets,"Exposure of material's backside disappoints. While this is cozy and well made, the problem lies with the unavoidable exposure of the inside of the poncho, which looks unfinished. had the inside been lined or had the hue of the stripes continued through the material, the draped look of this piece would be gorgeous. unfortunately, the faded backside of the pattern (a glimpse of it under model's left hand), viewable through the very large arm holes (and impossible to hide), disrupts the effortless, fluid feel that a poncho should have. i was",544,132,0
8425,1092,27,Cute dress for fall,"Runs true to size for brand/retailer clothes (xs for 5'5"", ~120lbs), but a little tight in the shoulders/biceps if you have fairly developed muscles or just wide shoulders. watch out for the skirt riding up when you reach for something or bend over.",5,1,1,General,Dresses,Dresses,"Cute dress for fall. Runs true to size for brand/retailer clothes (xs for 5'5"", ~120lbs), but a little tight in the shoulders/biceps if you have fairly developed muscles or just wide shoulders. watch out for the skirt riding up when you reach for something or bend over.",270,71,1
8790,936,37,Solid basic sweater,"I had just bleached my hair really blonde and was in the mood for something pink, so when i saw the rose color of this sweater in the store it fit the bill. nice and easy to wear, a wee bit scratchy but not too bad.",4,1,0,General Petite,Tops,Sweaters,"Solid basic sweater. I had just bleached my hair really blonde and was in the mood for something pink, so when i saw the rose color of this sweater in the store it fit the bill. nice and easy to wear, a wee bit scratchy but not too bad.",236,60,1
14986,862,39,Chic cardigan,"The color of this cardigan is beautiful, and the material is very soft.",4,1,0,General,Tops,Knits,"Chic cardigan. The color of this cardigan is beautiful, and the material is very soft.",86,21,1
4711,826,62,Gorgeous,The most beautiful top in my closet and i have a huge closet of beautiful clothes! hope retailer carries more peasant top by this brand...stunning,5,1,0,General Petite,Tops,Blouses,Gorgeous. The most beautiful top in my closet and i have a huge closet of beautiful clothes! hope retailer carries more peasant top by this brand...stunning,156,38,1
19751,829,59,Skylar buttondown,"The fit is slightly loose, but figure flattering, the fabric is semi sheer and the light, coral color is very pretty. however, after one, short wear i discovered fabric torn from both sides of the back seam. unfortunately, i need to return this blouse asap.",3,0,7,General Petite,Tops,Blouses,"Skylar buttondown. The fit is slightly loose, but figure flattering, the fabric is semi sheer and the light, coral color is very pretty. however, after one, short wear i discovered fabric torn from both sides of the back seam. unfortunately, i need to return this blouse asap.",276,64,0
20937,860,27,"Love this top, with a slight modification","I saw this top in my local store and almost didn't try it on solely because i hate split-sleeve/cold-shoulder tops. but, the peplum style and pattern were so cute that i took it into the dressing room anyway. after trying on probably 6-8 items, i wound up buying this top and one other. i really like the fit, as i am high-waisted, and it defines my waist really well . the wide neck is also super flattering. and i love the pattern. i went ahead and purchased, despite the fact that i wasn't thrille",4,1,6,General Petite,Tops,Knits,"Love this top, with a slight modification. I saw this top in my local store and almost didn't try it on solely because i hate split-sleeve/cold-shoulder tops. but, the peplum style and pattern were so cute that i took it into the dressing room anyway. after trying on probably 6-8 items, i wound up buying this top and one other. i really like the fit, as i am high-waisted, and it defines my waist really well . the wide neck is also super flattering. and i love the pattern. i went ahead and purchased, despite the fact that i wasn't thrille",543,140,1
22096,1011,32,Looks good online,"Loved this online, but the xs was too big and the material was too bulky.",2,0,0,General,Bottoms,Skirts,"Looks good online. Loved this online, but the xs was too big and the material was too bulky.",92,23,1
13948,868,54,Cute and comfortable,"Love this top, looks really cute with a pair of high waist jeans. it is a nice thick cotton fabric that does not stretch out after wearing. it is short, so for me the high waist pants were a must, but if you don't mind showing your belly, then it would be cute with anything, the boat neck collar is not so wide that it shows your bra straps as with some. overall it was a good fit.",5,1,0,General,Tops,Knits,"Cute and comfortable. Love this top, looks really cute with a pair of high waist jeans. it is a nice thick cotton fabric that does not stretch out after wearing. it is short, so for me the high waist pants were a must, but if you don't mind showing your belly, then it would be cute with anything, the boat neck collar is not so wide that it shows your bra straps as with some. overall it was a good fit.",404,102,1
13869,1095,38,"Love this dress, but definitely some fit issues...","Super cute retro styling and i adore the pattern however i had some fit issues that were worth noting. i tried the standard 6 on at my local store but the bodice was so tight on my 34 b chest. i was determined to get this lovely summer frock and had the sa order an 8p to be shipped to me. i'm currently taking my 8p for a spin today but only after some alterations: even through the dress was quite large in the bust, there was still the dreaded button gaping so i added 2 snaps in between some of t",4,1,1,General Petite,Dresses,Dresses,"Love this dress, but definitely some fit issues.... Super cute retro styling and i adore the pattern however i had some fit issues that were worth noting. i tried the standard 6 on at my local store but the bodice was so tight on my 34 b chest. i was determined to get this lovely summer frock and had the sa order an 8p to be shipped to me. i'm currently taking my 8p for a spin today but only after some alterations: even through the dress was quite large in the bust, there was still the dreaded button gaping so i added 2 snaps in between some of t",552,136,1
3980,866,23,Weird seams,This would have been a cute top but the shoulder seams come halfway down the arm and give it a really weird shape. it looks smooth and fine on the model but in real life they stick out and make you look boxy. too bad!,2,0,3,General,Tops,Knits,Weird seams. This would have been a cute top but the shoulder seams come halfway down the arm and give it a really weird shape. it looks smooth and fine on the model but in real life they stick out and make you look boxy. too bad!,230,56,0
12614,1100,43,Lovely print nice for athletic build,"I have another paper crown dress that is a favorite. this dress has the same quality and i love the print, which is somewhere between abstract and almost animal. unfortunately, the fit did not work for me. i am large-busted and need a bra. this dress cuts in at the shoulders and did not work with any of my bras except strapless. also, the waist cinches but without a defined band. this looked a bit more frumpy. again, i suspect the fault is in my figure, not the dress.

for someone with a smaller",4,1,1,General Petite,Dresses,Dresses,"Lovely print nice for athletic build. I have another paper crown dress that is a favorite. this dress has the same quality and i love the print, which is somewhere between abstract and almost animal. unfortunately, the fit did not work for me. i am large-busted and need a bra. this dress cuts in at the shoulders and did not work with any of my bras except strapless. also, the waist cinches but without a defined band. this looked a bit more frumpy. again, i suspect the fault is in my figure, not the dress.

for someone with a smaller",538,124,1
15067,886,47,"Some good and some bad,,,","The colors of this top are perfect for spring, i love the embroidery and like the sleeves with the ties at the bottom. what i didn't like and primary reason i may be returning, is the elastic bottom. it cuts off at an awkward spot on my waist and makes my top section look short and wide. i am very disappointed about this, as the rest of the blouse is gorgeous.",3,0,7,General,Tops,Knits,"Some good and some bad,,,. The colors of this top are perfect for spring, i love the embroidery and like the sleeves with the ties at the bottom. what i didn't like and primary reason i may be returning, is the elastic bottom. it cuts off at an awkward spot on my waist and makes my top section look short and wide. i am very disappointed about this, as the rest of the blouse is gorgeous.",389,102,1
2578,1110,20,Cute dress,"I usually wear a small, 4 or 6 and in this dress i couldn't even zip up the 8. so tight in the rib cage and chest. if i tried to go up even further the bottom half got much bigger. guess this one is not for me.",3,0,1,General Petite,Dresses,Dresses,"Cute dress. I usually wear a small, 4 or 6 and in this dress i couldn't even zip up the 8. so tight in the rib cage and chest. if i tried to go up even further the bottom half got much bigger. guess this one is not for me.",222,61,0
310,836,41,Cute top,"This top looks pretty much like it does not the model. the sleeves are a nice length and are not too tight. the fabric is light weight, but not see-through. it does not wrinkle a lot. i've gotten several compliments on it and it goes with lots of different bottoms and will work under jackets too. the v-neck is pretty deep, but doesn't show so much cleavage that you couldn't wear it to work.",5,1,0,General,Tops,Blouses,"Cute top. This top looks pretty much like it does not the model. the sleeves are a nice length and are not too tight. the fabric is light weight, but not see-through. it does not wrinkle a lot. i've gotten several compliments on it and it goes with lots of different bottoms and will work under jackets too. the v-neck is pretty deep, but doesn't show so much cleavage that you couldn't wear it to work.",403,107,1
23382,1110,56,"Gorgeous, but...","Everything about this dress is beautiful except for the hemline. the color is beautiful; the old-fashioned, wispy femininity is beautiful. the dress probably could use something better at the waistline besides elastic, maybe ribbons to tie, but the hemline is what kills it. it is half a normal-length dress (in the front) and half maxi dress (in the back). the designer should have chosen one or the other, not both, and it would have been much better. for the category of aesthetic/design, i would",4,0,17,General Petite,Dresses,Dresses,"Gorgeous, but.... Everything about this dress is beautiful except for the hemline. the color is beautiful; the old-fashioned, wispy femininity is beautiful. the dress probably could use something better at the waistline besides elastic, maybe ribbons to tie, but the hemline is what kills it. it is half a normal-length dress (in the front) and half maxi dress (in the back). the designer should have chosen one or the other, not both, and it would have been much better. for the category of aesthetic/design, i would",517,124,1
2609,1059,53,Will pass on these,These look much cuter in the picture than in person. i found them to be very thin and cheap looking. i am pretty sure you could find a similar pair at a budget department store.,2,0,28,General,Bottoms,Pants,Will pass on these. These look much cuter in the picture than in person. i found them to be very thin and cheap looking. i am pretty sure you could find a similar pair at a budget department store.,197,44,0
4707,836,61,A piece of art,"Stunning! very well made. the colors are so vibrant and stand out without being too flashy. the cut is a bit strange but it works. runs true to size. i took my normal size 0. i rarely buy anything at retailer full price, but i made an exception with this one. a must buy!",5,1,3,General Petite,Tops,Blouses,"A piece of art. Stunning! very well made. the colors are so vibrant and stand out without being too flashy. the cut is a bit strange but it works. runs true to size. i took my normal size 0. i rarely buy anything at retailer full price, but i made an exception with this one. a must buy!",287,73,1
2454,872,62,Lovely top,What a lovely top! the embroidery makes this simple top very special. it's too light-weight for january but will be a staple of my wardrobe come spring.,5,1,3,General,Tops,Knits,Lovely top. What a lovely top! the embroidery makes this simple top very special. it's too light-weight for january but will be a staple of my wardrobe come spring.,164,42,1
22375,1072,53,Pretty tunic,This is a pretty tunic but it just didn't look right on me. the colors are nice and you can easily hide body flaws.,5,1,1,General,Dresses,Dresses,Pretty tunic. This is a pretty tunic but it just didn't look right on me. the colors are nice and you can easily hide body flaws.,129,35,1
19420,873,25,Cute details and good cut,"I'm a sucker for lace details that dress up an otherwise plain white shirt. the shoulder and sleeve lace is well done on this top, and the cut is flattering, skimming over the body. i appreciated that the product notes included the length, as i ordered a petite s (i'm 5'4"", 120 lbs) and the fit was perfect. a regular s would have been too long for me. the fabric is soft and fluid. i wish it were a little more substantial, but that's a minor quibble.",4,1,0,General,Tops,Knits,"Cute details and good cut. I'm a sucker for lace details that dress up an otherwise plain white shirt. the shoulder and sleeve lace is well done on this top, and the cut is flattering, skimming over the body. i appreciated that the product notes included the length, as i ordered a petite s (i'm 5'4"", 120 lbs) and the fit was perfect. a regular s would have been too long for me. the fabric is soft and fluid. i wish it were a little more substantial, but that's a minor quibble.",480,129,1
13262,909,29,Love!,"This top is so cute. a little cropped, light for a sweater tank in my opinion, and runs a little big so i sized down one size. beautiful fabric and fit, the ruffles are such a fun addition! definitely recommend with a high waisted pant or skirt for work - so cute!",5,1,1,General Petite,Tops,Fine gauge,"Love!. This top is so cute. a little cropped, light for a sweater tank in my opinion, and runs a little big so i sized down one size. beautiful fabric and fit, the ruffles are such a fun addition! definitely recommend with a high waisted pant or skirt for work - so cute!",271,75,1
